gene_symbol,liver_tpm
HYOU1,45.0885
SLC35C1,44.9852
REPIN1,44.9601
CTH,44.9426
SIGIRR,44.8645
PPP1R3B,44.8493
SCYL1,44.81
NDUFB4,44.7412
HLA-DRA,44.6309
LINC01093,44.6264
FAM20A,44.5873
HLA-DRB1,44.5709
TOLLIP,44.5504
C9orf142,44.5431
NAPA,44.4871
EBNA1BP2,44.4605
PPP6R2,44.3643
MAT2A,44.336
CALM1,44.2932
SLC25A13,44.2467
CNPY3,44.23
SYT7,44.2188
STAU1,44.1339
C4orf3,44.0229
DRAP1,44.0176
U2AF2,43.9883
SARDH,43.9795
ZFP36L2,43.9757
MAP2K2,43.9669
UBXN1,43.9494
PGGHG,43.912
NACA,43.9012
DHODH,43.8288
LINC00844,43.8255
RPL9P9,43.8078
