distribution,loo_influence
background,0.0191616489807299
background,0.018279839343781
background,0.015413733243925252
background,0.00510460647454421
background,0.0240221576521194
background,0.01721682024850435
background,0.013193646698699624
background,0.020773916347112942
background,0.019388517439522687
background,0.00511707128336997
background,0.010660185662268581
background,0.011573139037111792
background,0.01954832006961975
background,0.009701573528444179
background,0.007523891936094608
background,0.008861622739485564
background,0.008622734376851491
background,0.017532592730691885
background,0.01062544077920246
background,0.008778187438040454
background,0.029024480579922275
background,0.013399156803011032
background,0.006533072262577435
background,0.012856280742163391
background,0.010154736861772838
background,0.008454778679756633
background,0.009444724716849685
background,0.008477375863874259
background,0.012797010961523567
background,0.005796858044637926
background,0.024444222359953145
background,0.011495590421917981
background,0.004963998158714517
background,0.027362161702537226
background,0.006082720019096475
background,0.011733713215817168
background,0.01059074017761195
background,0.007748402572855557
background,0.023970554618219887
background,0.012288496359831258
background,0.014413653650592499
background,0.023675741784497308
background,0.008179011700315111
background,0.020784786411061375
background,0.01522997904210903
background,0.027608739901235732
background,0.01368741839390693
background,0.015076387238069512
background,0.014980270844546662
background,0.028452132140111906
background,0.013681898270229101
background,0.01139452059510352
background,0.020276608078545342
background,0.029920843021904356
background,0.006249440192528843
background,0.01528297228477575
background,0.005423912038718571
background,0.012812547047851059
background,0.01471354890863268
background,0.017944213795921732
background,0.014057526654132605
background,0.035483561667110156
background,0.015407932495002689
background,0.008943801325339267
background,0.011886542522979061
background,0.011641775125484734
background,0.00943696877298688
background,0.005383724449931197
background,0.017684440591778768
background,0.03851597245372694
background,0.013947165327797086
background,0.0065257628841656505
background,0.015596716839805931
background,0.012528287388627816
background,0.02972599783300319
background,0.028043813116390762
background,0.020478090889015137
background,0.013467851396816985
background,0.016136776527023913
background,0.010556668411022888
background,0.01065134099163218
background,0.023589374488146398
background,0.00934675924150331
background,0.007015421342080884
background,0.00906142315065366
background,0.010303150616266504
background,0.0067591800012509655
background,0.014878506464768551
background,0.03849907847225247
background,0.00950505335899328
background,0.012233305116349784
background,0.0059336596821288
background,0.008676254071797786
background,0.0057270664464848945
background,0.017266946105540967
background,0.013920243471047701
background,0.01731157931274213
background,0.009536121665318751
background,0.01666111728364685
background,0.005793815956437829
background,0.008469313431974898
background,0.004395503935850917
background,0.023880563273477238
background,0.00589448577445607
background,0.007285843227791225
background,0.020572616363754556
background,0.007480639382890042
background,0.008837818556326791
background,0.00906931505145784
background,0.005623763753274632
background,0.006486370123265056
background,0.009196634785609909
background,0.009419686904880754
background,0.004810939563812717
background,0.008649578020784242
background,0.007656931589412521
background,0.005860988173435313
background,0.023689333216091138
background,0.012376441500922422
background,0.030724230176315058
background,0.00819884322560502
background,0.02100183413452491
background,0.016119051196655108
background,0.0066960817343906815
background,0.017505354994365924
background,0.012996398364128277
background,0.010684690393193828
background,0.006328740029586613
background,0.01315725400301127
background,0.005630892852991149
background,0.018445234678794855
background,0.0067173051455980725
background,0.00605323994412489
background,0.012358720967611815
background,0.008410495289957689
background,0.00907812773138133
background,0.028848259857565527
background,0.02469289144532449
background,0.013795924556085238
background,0.015516925908105115
background,0.01673347649232655
quercetin_subset,0.02685259643438262
quercetin_subset,0.03497686420902989
quercetin_subset,0.03369225470207544
quercetin_subset,0.026955652642921244
quercetin_subset,0.033280616794330184
quercetin_subset,0.01686463703335062
quercetin_subset,0.037970605459815086
quercetin_subset,0.025163479999129112
quercetin_subset,0.03147741434653829
quercetin_subset,0.034912527843919114
quercetin_subset,0.024096474693498675
quercetin_subset,0.027659983474929453
quercetin_subset,0.03324780431080013
quercetin_subset,0.034844748486341705
quercetin_subset,0.04523883092478959
quercetin_subset,0.018823725503488327
quercetin_subset,0.03273410185302457
quercetin_subset,0.026652716612350046
quercetin_subset,0.036512334355913806
quercetin_subset,0.03459704965969479
quercetin_subset,0.022930224765045193
quercetin_subset,0.024420957305532228
quercetin_subset,0.02553992019956504
quercetin_subset,0.018372239507774744
quercetin_subset,0.024725298880732622
quercetin_subset,0.027600214420132472
quercetin_subset,0.042614745059727996
quercetin_subset,0.01909498889031564
quercetin_subset,0.03455922915572825
quercetin_subset,0.027010396620408387
quercetin_subset,0.036010831706724714
quercetin_subset,0.03376715486084477
quercetin_subset,0.030419988117594682
quercetin_subset,0.04875953975878064
quercetin_subset,0.026503101412842744
quercetin_subset,0.02306088728061729
quercetin_subset,0.030547169230745543
quercetin_subset,0.03968756397152743
quercetin_subset,0.044067392150911586
quercetin_subset,0.03814314116136349
quercetin_subset,0.042631930820084284
quercetin_subset,0.021795484245285702
quercetin_subset,0.03235316017221167
quercetin_subset,0.027927592902170815
quercetin_subset,0.03011265692009495
quercetin_subset,0.016941162138668777
quercetin_subset,0.035581397199991
quercetin_subset,0.01880676756589992
quercetin_subset,0.028626091259221123
quercetin_subset,0.03765769723121202
quercetin_subset,0.03436200851411655
quercetin_subset,0.023001738535281122
quercetin_subset,0.053065733670874755
quercetin_subset,0.03526872644993381
quercetin_subset,0.03463800860983969
quercetin_subset,0.026914243080377532
quercetin_subset,0.017126624656308282
quercetin_subset,0.02507745396207426
quercetin_subset,0.02662709867844175
quercetin_subset,0.02187083624889049
quercetin_subset,0.03025920077658576
quercetin_subset,0.04219505326177186
quercetin_subset,0.039946789037461766
quercetin_subset,0.021428192810316153
quercetin_subset,0.041070053912963395
quercetin_subset,0.03725454960625942
quercetin_subset,0.021833184397286293
quercetin_subset,0.02596659036282913
quercetin_subset,0.03258063588922921
quercetin_subset,0.03317960746648403
quercetin_subset,0.03577790621990211
quercetin_subset,0.026844801462276736
quercetin_subset,0.026637170780568393
quercetin_subset,0.024294404824935962
quercetin_subset,0.024428445022959953
quercetin_subset,0.018203883226637057
quercetin_subset,0.017224778850628873
quercetin_subset,0.027340975207560708
quercetin_subset,0.03903057017229117
quercetin_subset,0.016900393913785457
quercetin_subset,0.03333310466661039
